Number,Hotel,Rating,link,Travel,Location,Sleep,Rooms,Distance,Reviews,Cleanliness,New Rating_0_5,Residuals,New Rating
56,"Royal Orchid Beach Resort & Spa, Goa",4.5,http://www.tripadvisor.in/Hotel_Review-g1204863-d1174318-Reviews-Royal_Orchid_Beach_Resort_Spa_Goa-Utorda_Goa.html,7,4,4,4,4,3.5,4,3.2,1.7,6.5
57,Opus by the Verda,3.5,http://www.tripadvisor.in/Hotel_Review-g306992-d3914390-Reviews-Opus_by_the_Verda-Anjuna_Bardez_Goa.html,7,4,4,4,3.5,3.5,4,3.3,0,6.6
58,Resorte Marinha Dourada,3,http://www.tripadvisor.in/Hotel_Review-g312680-d528422-Reviews-Resorte_Marinha_Dourada-Arpora_Goa.html,7,4,4,3.5,4,4,4,2.5,0.2,5.1
59,Marbela Beach Resort,4,http://www.tripadvisor.in/Hotel_Review-g1936425-d1645431-Reviews-Marbela_Beach_Resort-Morjim_Goa.html,7,4,3.5,4,3.5,3.5,4,2.8,1.4,5.5
60,Colonia Santa Maria (CSM),3,http://www.tripadvisor.in/Hotel_Review-g635747-d498688-Reviews-Colonia_Santa_Maria_CSM-Baga_Goa.html,7,4.5,4,3.5,4,4,4,2.5,0.2,5
61,Banyan Tree Courtyard,2.5,http://www.tripadvisor.in/Hotel_Review-g297605-d1393057-Reviews-Banyan_Tree_Courtyard-Candolim_Bardez_Goa.html,7,4,4,3.5,4,4,4,2.5,0,5.1
62,Acacia Palms Resort,4,http://www.tripadvisor.in/Hotel_Review-g1064392-d6420076-Reviews-Acacia_Palms_Resort-Colva_Goa.html,8,4.5,4.5,4.5,4,4.5,4.5,3.8,0,7.6
63,Royal Haathi Mahal,3.5,http://www.tripadvisor.in/Hotel_Review-g775971-d477621-Reviews-Royal_Haathi_Mahal-Cavelossim_Goa.html,8,4,4,4,4,4,4,3.1,0.2,6.2
64,"Goa - Villagio, A Sterling Holidays Resort",3.5,http://www.tripadvisor.in/Hotel_Review-g1925961-d2013657-Reviews-Goa_Villagio_A_Sterling_Holidays_Resort-Betalbatim_Salcette_District_Goa.html,7,4,4.5,4,4,4,4.5,3.6,0,7.1
65,Montego Bay Beach Village,3,http://www.tripadvisor.in/Hotel_Review-g1936425-d649622-Reviews-Montego_Bay_Beach_Village-Morjim_Goa.html,8,4.5,4,4,4,4,4,3,0,6.1
66,Soul Vacation Resort and Spa,3.5,http://www.tripadvisor.in/Hotel_Review-g1064392-d641628-Reviews-Soul_Vacation_Resort_and_Spa-Colva_Goa.html,7,4,4,4,4,4,4,2.8,0.5,5.6
67,Shanti Morada,4.5,http://www.tripadvisor.in/Hotel_Review-g3136739-d5892286-Reviews-Shanti_Morada-Saligao_Bardez_Goa.html,9,4.5,5,5,5,5,5,4.3,0,8.5
68,The HQ,3.5,http://www.tripadvisor.in/Hotel_Review-g1204880-d2168572-Reviews-The_HQ-Vasco_da_Gama_Goa.html,8,4,4.5,4.5,4,4,4.5,4.1,0.4,8.2
69,Highland Beach Resort,3,http://www.tripadvisor.in/Hotel_Review-g297605-d315627-Reviews-Highland_Beach_Resort-Candolim_Bardez_Goa.html,7,4,3.5,3.5,3.5,4,3.5,2,1,3.9
70,Riva Beach Resort,3.5,http://www.tripadvisor.in/Hotel_Review-g1010240-d953464-Reviews-Riva_Beach_Resort-Mandrem_Goa.html,7,4.5,4,3.5,3.5,3.5,3.5,3.2,0.1,6.3
71,Hotel Bonanza,2.5,http://www.tripadvisor.in/Hotel_Review-g635747-d1144731-Reviews-Hotel_Bonanza-Baga_Goa.html,8,5,4,4,4.5,4.5,4.5,2.2,0.1,4.5
72,Carina Beach Resort,2,http://www.tripadvisor.in/Hotel_Review-g306994-d806708-Reviews-Carina_Beach_Resort-Benaulim_Goa.html,7,3.5,3.5,3.5,3.5,3.5,4,2.5,0.2,5
73,Hotel Colva Kinara,3,http://www.tripadvisor.in/Hotel_Review-g1064392-d1734243-Reviews-Hotel_Colva_Kinara-Colva_Goa.html,7,4,4,4,3.5,4,4,2.9,0,5.8
74,The Crown Goa,4,http://www.tripadvisor.in/Hotel_Review-g303877-d1797775-Reviews-The_Crown_Goa-Panaji_Goa.html,7,4,4,4,3.5,3.5,4,3.3,0.5,6.6
75,Grand Mercure Goa Shrem Resort,5,http://www.tripadvisor.in/Hotel_Review-g297605-d6499143-Reviews-Grand_Mercure_Goa_Shrem_Resort-Candolim_Bardez_Goa.html,9,4.5,4.5,4.5,4.5,4.5,5,3.7,1.7,7.5
76,Bougainvillea Guest House Goa,3.5,http://www.tripadvisor.in/Hotel_Review-g297605-d1575279-Reviews-Bougainvillea_Guest_House_Goa-Candolim_Bardez_Goa.html,9,4.5,5,5,5,5,5,4.3,0.6,8.5
77,Hotel Fidalgo,3.5,http://www.tripadvisor.in/Hotel_Review-g303877-d594977-Reviews-Hotel_Fidalgo-Panaji_Goa.html,7,4.5,4,4,4,3.5,4,3.3,0,6.7
78,Casa Vagator,3.5,http://www.tripadvisor.in/Hotel_Review-g1204883-d1018485-Reviews-Casa_Vagator-Vagator_Goa.html,7,4.5,4,4,3.5,3.5,3.5,3.4,0,6.8
79,LivingRoom by Seasons,4,http://www.tripadvisor.in/Hotel_Review-g1204883-d2240978-Reviews-LivingRoom_by_Seasons-Vagator_Goa.html,8,4,4.5,4.5,4.5,4,4.5,3.9,0,7.7
80,Silver Sands Holiday Village,3,http://www.tripadvisor.in/Hotel_Review-g297605-d636610-Reviews-Silver_Sands_Holiday_Village-Candolim_Bardez_Goa.html,7,5,4,3.5,4,4,4,2.5,0.2,4.9
81,Leoney Resort,3,http://www.tripadvisor.in/Hotel_Review-g1204883-d1015639-Reviews-Leoney_Resort-Vagator_Goa.html,7,4,4,4,3.5,4,4,2.9,0,5.8
82,WelcomHeritage Panjim Inn,3,http://www.tripadvisor.in/Hotel_Review-g303877-d425691-Reviews-WelcomHeritage_Panjim_Inn-Panaji_Goa.html,8,4.5,4,4,4,4,4.5,3.1,0,6.2
83,"The Fern Gardenia Resort, Canacona",3,http://www.tripadvisor.in/Hotel_Review-g306996-d1906397-Reviews-The_Fern_Gardenia_Resort_Canacona-Canacona_Goa.html,8,4,4.5,4,4,4,4.5,3.8,0.6,7.6
84,Sukhmantra Resort and Spa,3.5,http://www.tripadvisor.in/Hotel_Review-g297605-d2517469-Reviews-Sukhmantra_Resort_and_Spa-Candolim_Bardez_Goa.html,7,3.5,4,3.5,3.5,3.5,4,3,0.2,6.1
85,Sonesta Inns,3,http://www.tripadvisor.in/Hotel_Review-g297605-d315628-Reviews-Sonesta_Inns-Candolim_Bardez_Goa.html,7,4,4,4,4,4,4,2.8,0,5.6
86,360 Degree Beach Retreat,3.5,http://www.tripadvisor.in/Hotel_Review-g297605-d1404886-Reviews-360_Degree_Beach_Retreat-Candolim_Bardez_Goa.html,7,4.5,4.5,4,4,4,4,3.4,0,6.9
87,Country Inn & Suites By Carlson - Goa Panjim,4,http://www.tripadvisor.in/Hotel_Review-g303877-d4412908-Reviews-Country_Inn_Suites_By_Carlson_Goa_Panjim-Panaji_Goa.html,7,4,4.5,4,4,4,4.5,3.6,0.2,7.1
88,Godwin Hotel,4,http://www.tripadvisor.in/Hotel_Review-g297605-d2305108-Reviews-Godwin_Hotel-Candolim_Bardez_Goa.html,7,4,4,4,3.5,4,4,2.9,1.2,5.8
